POSTCODE,SUBURB,STATE,PO BOX,COUNTRY,LONG,LAT
872,KALTUKATJARA,NT,0,AU,129.094528,-24.87255301
872,KINGS CREEK STATION,NT,0,AU,,
872,KINTORE,NT,0,AU,129.3817965,-23.26915228
872,KIWIRRKURRA,WA,0,AU,126.954107,-23.2807675
872,KULGERA,NT,0,AU,133.5,-25.833333
872,KUNPARRKA,NT,0,AU,131.6609525,-23.34766035
872,LAKE MACKAY,NT,0,AU,129.836553,-22.56770511
872,LAMBINA,SA,0,AU,134.0209294,-26.98843007
872,LARAMBA,NT,0,AU,132.7623588,-22.54343571
872,MACDONNELL RANGE,NT,0,AU,,
872,MEREENIE,NT,0,AU,131.8260951,-23.89506921
872,MIMILI,SA,0,AU,132.7012923,-27.02392513
872,MOUNT LIEBIG,NT,0,AU,131.2776674,-23.26801669
872,MOUNT ZEIL,NT,0,AU,132.3999432,-23.30598045
872,MUTITJULU,NT,0,AU,131.0673597,-25.35069546
872,NAMATJIRA,NT,0,AU,132.5066498,-23.92272359
872,NAPPERBY STATION,NT,0,AU,,
872,NGAANYATJARRA-GILES,WA,0,AU,128.1150802,-25.27073166
872,NYAPARI,SA,0,AU,130.2070878,-26.18249261
872,NYIRRIPI,NT,0,AU,130.5638643,-22.64924233
872,PAPUNYA,NT,0,AU,131.9131315,-23.20480045
872,PATJARR,WA,0,AU,131.6138326,-23.4686864
872,PETERMANN,NT,0,AU,129.9128112,-25.06768646
872,SANDOVER,NT,0,AU,135.4818322,-21.98353618
872,SANTA TERESA,NT,0,AU,134.4350269,-24.00852725
872,SIMPSON,NT,0,AU,136.92241,-25.0115767
872,TANAMI,NT,0,AU,130.5073968,-20.02389415
872,TARA,NT,0,AU,133.9991919,-21.48332153
872,TELEGRAPH STATION,NT,0,AU,,
872,TI TREE,NT,0,AU,133.4139481,-22.13382396
872,TIEYON,SA,0,AU,133.8900188,-26.34253111
872,TITJIKALA,NT,0,AU,134.0751086,-24.68023025
872,TJIRRKARLI,WA,0,AU,125.3466253,-25.9752687
872,TJUKURLA,WA,0,AU,128.656027,-24.343546
872,WALLACE ROCKHOLE,NT,0,AU,133.0920217,-24.12316757
872,WILLOWRA,NT,0,AU,132.6191099,-21.26319594
872,WILORA,NT,0,AU,133.7264862,-21.74429359
872,WINGELLINA,WA,0,AU,131.6138326,-23.4686864
872,WUTUNUGURRA,NT,0,AU,135.2504879,-20.46229972
872,YUELAMU,NT,0,AU,132.1994173,-22.26174481
872,YUENDUMU,NT,0,AU,131.7928598,-22.25584648
872,YULARA,NT,0,AU,130.9700571,-25.20690486
873,AMOONGUNA,NT,0,AU,133.9306532,-23.76846799
873,ARUMBERA,NT,0,AU,133.8139564,-23.7852622
873,CONNELLAN,NT,0,AU,133.9102463,-23.80211632
873,HEAVITREE GAP CPA,NT,0,AU,,
873,ILPARPA,NT,0,AU,133.8226187,-23.74240746
873,ROSS,NT,0,AU,133.9050112,-23.74471408
874,IRLPME,NT,0,AU,133.8647591,-23.64690294
874,MOUNT JOHNS,NT,0,AU,133.9123902,-23.72335988
874,UNDOOLYA,NT,0,AU,133.9224797,-23.68480339
875,FLYNN,NT,0,AU,133.8354205,-23.71350386
875,LARAPINTA,NT,0,AU,133.8311794,-23.68028355
880,GAPUWIYAK,NT,0,AU,135.7954286,-12.50557433
880,GUNYANGARA,NT,0,AU,136.7083085,-12.21424182
880,NHULUNBUY,NT,0,AU,136.7670075,-12.18911415
880,YIRRKALA,NT,0,AU,136.8772098,-12.2425718
881,NHULUNBUY,NT,0,AU,136.7670075,-12.18911415
885,ALYANGULA,NT,0,AU,136.420066,-13.85078586
886,JABIRU,NT,0,AU,132.837185,-12.66948283
906,WINNELLIE,NT,1,AU,130.8848327,-12.42871348
907,WINNELLIE,NT,1,AU,130.8848327,-12.42871348
909,CHARLES DARWIN UNIVERSITY,NT,1,AU,,
1021,SYDNEY,NSW,1,AU,151.2093319,-33.86885141
1022,SYDNEY,NSW,1,AU,151.2093319,-33.86885141
1100,SYDNEY,NSW,1,AU,151.2093319,-33.86885141
1215,AUSTRALIA SQUARE,NSW,1,AU,,
1220,GROSVENOR PLACE,NSW,1,AU,,
1225,ROYAL EXCHANGE,NSW,1,AU,,
1230,QUEEN VICTORIA BUILDING,NSW,1,AU,,
1231,SYDNEY SOUTH,NSW,1,AU,151.205873,-33.8743125
1235,SYDNEY SOUTH,NSW,1,AU,151.205873,-33.8743125
1239,HAYMARKET,NSW,1,AU,151.2050073,-33.88096124
1240,HAYMARKET,NSW,1,AU,151.2050073,-33.88096124
1291,SYDNEY,NSW,1,AU,151.2093319,-33.86885141
1300,DARLINGHURST,NSW,1,AU,151.2194604,-33.87791456
1335,POTTS POINT,NSW,1,AU,151.2260612,-33.86559793
1340,KINGS CROSS,NSW,1,AU,,
1350,WOOLLAHRA,NSW,1,AU,151.2437908,-33.88692236
1355,BONDI JUNCTION,NSW,1,AU,151.2507747,-33.89305375
1360,DOUBLE BAY,NSW,1,AU,151.2430955,-33.87731902
1435,ALEXANDRIA,NSW,1,AU,151.1928183,-33.90986245
1445,ROSEBERY,NSW,1,AU,151.2047934,-33.91889933
1450,CAMPERDOWN,NSW,1,AU,151.1817967,-33.8884485
1455,BOTANY,NSW,1,AU,151.2000335,-33.94807906
1460,MASCOT,NSW,1,AU,151.1717926,-33.9366584
1465,KENSINGTON,NSW,1,AU,151.2206407,-33.9133683
1466,UNSW SYDNEY,NSW,1,AU,,
1470,DRUMMOYNE,NSW,1,AU,151.152827,-33.85255075
1475,MARRICKVILLE,NSW,1,AU,151.1554613,-33.91115902
1480,KINGSGROVE,NSW,1,AU,151.0993039,-33.93934414
1481,HURSTVILLE BC,NSW,1,AU,,
1485,KOGARAH,NSW,1,AU,151.1353442,-33.96575319
1490,MIRANDA,NSW,1,AU,151.1030301,-34.03302088
1495,CARINGBAH,NSW,1,AU,151.1268386,-34.03507035
1499,SUTHERLAND,NSW,1,AU,151.0567443,-34.03130195
1515,WEST CHATSWOOD,NSW,1,AU,,
1560,NORTHBRIDGE,NSW,1,AU,151.2180035,-33.81084829
1565,MILSONS POINT,NSW,1,AU,151.211343,-33.84709996
1570,ARTARMON,NSW,1,AU,151.1860541,-33.81097111
1585,CROWS NEST,NSW,1,AU,151.2036476,-33.82576451
1590,ST LEONARDS,NSW,1,AU,151.1928232,-33.82281645
1595,LANE COVE,NSW,1,AU,151.1726994,-33.81823239
1602,LANE COVE DC,NSW,1,AU,,
1630,HORNSBY,NSW,1,AU,151.0959023,-33.69799536
1635,HORNSBY WESTFIELD,NSW,1,AU,,
1640,FRENCHS FOREST,NSW,1,AU,151.2354347,-33.74761382
1655,MANLY,NSW,1,AU,151.2911041,-33.80477132
1660,MONA VALE,NSW,1,AU,151.3036278,-33.67596443
1670,NORTH RYDE,NSW,1,AU,151.1294983,-33.79667862
1670,NORTH RYDE BC,NSW,1,AU,,
1675,GLADESVILLE,NSW,1,AU,151.1263932,-33.82767275
1680,RYDE,NSW,1,AU,151.1118489,-33.81057295
1685,WEST RYDE,NSW,1,AU,151.0841918,-33.80943246
1700,ERMINGTON,NSW,1,AU,151.0600942,-33.81126346
1710,EPPING,NSW,1,AU,151.0762832,-33.77282638
1715,PENNANT HILLS,NSW,1,AU,151.0741248,-33.73846224
1730,SEVEN HILLS,NSW,1,AU,150.9386788,-33.77668527
